case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
178,spleen_mouse_FDISCO_20250527_163758,73.2,1,33.1712,24.1474,21.9172,10.636,88.2332,33.1784,0,5,2,0.786694
179,stomache_mouse_FDISCO_20250527_155810,140.8,1.01065,65.6964,55.4491,48.1933,12.3737,63.5806,65.7061,0,5,2,0.774211
180,tooth_miuse_FDISCO_20250527_180724,14.4,2.02083,78.0596,71.7984,67.8786,26.9828,31.4081,78.1149,1,5,2,0.729499
181,tooth_mouse_FDISCO_20250527_180936,11.7,1.93162,43.3086,40.5479,38.4641,17.4207,23.3741,43.3495,1,5,2,0.765212
182,tooth_mouse_FDISCO_20250527_181135,26.1,1.44828,67.715,61.3543,56.6479,17.0761,38.896,67.7393,1,5,1,0.780963
183,tooth_mouse_FDISCO_20250527_181321,14.8,1.62162,59.2323,54.5299,51.7563,24.2603,28.7353,59.2771,1,5,1,0.745683
184,tooth_mouse_FDISCO_20250527_181458,19.7,1.74112,60.8611,56.68,54.205,19.4658,25.3975,60.9081,1,5,1,0.722907
185,brain_mouse_FDISCO_20250609_193752,454,1.11233,4.9244,4.87456,4.76482,8.63309,12.1393,4.98995,0,5,3,0.761081
186,brain_mouse_FDISCO_20250609_194150,461,1.08351,69.6383,60.4095,57.3769,14.3068,43.5976,69.6522,0,5,3,0.738077
187,brain_mouse_FDISCO_20250609_194457,468.2,1.06984,67.4964,57.8342,55.0098,13.2819,45.7305,67.5121,0,5,3,0.777149
188,brain_mouse_FDISCO_20250609_194724,481.6,1.05233,71.4881,62.0905,58.9626,13.5603,43.4072,71.5059,0,5,3,0.777149
189,brain_mouse_FDISCO_20250609_195102,490.9,1.0497,71.4435,62.1092,58.5841,10.6641,44.4584,71.4573,0,5,3,0.710848
190,brain_mouse_FDISCO_20250609_195313,493.7,1.0478,67.2436,57.174,53.8735,12.1117,49.1481,67.2578,0,5,3,0.777243
191,brain_mouse_FDISCO_20250609_195446,472.5,1.03386,68.3906,58.17,54.8135,10.8586,49.1388,68.4014,0,5,3,0.709446
192,brain_mouse_FDISCO_20250609_195652,503.7,1.04804,59.3481,47.9407,44.0602,11.049,65.4152,59.3634,0,5,3,0.785226
193,brain_mouse_FDISCO_20250609_195842,494.1,1.06557,69.7712,60.6129,57.3507,14.1034,44.4165,69.7898,0,5,3,0.685196
194,brain_mouse_FDISCO_20250609_200044,477.2,1.03583,69.1719,59.053,55.4862,9.50535,49.0483,69.1853,0,5,3,0.76445
195,brain_mouse_FDISCO_20250609_200215,490.6,1.03751,67.8242,58.0025,54.9441,12.6363,47.5645,67.8375,0,5,2,0.736146
196,heart_rat_FDISCO_20250609_202721,750.7,1.03836,44.4957,35.0881,30.2156,10.837,86.3588,44.5047,0,5,3,0.592837
197,heart_rat_FDISCO_20250609_203813,716.9,1.03683,38.0445,29.5645,24.6848,10.8922,96.2378,38.0565,0,5,3,0.653449
198,intestine_rat_FDISCO_20250609_204919,752.5,1.04585,72.7141,60.9726,48.7695,14.4898,78.3758,72.7269,0,5,3,0.792116
199,intestine_rat_FDISCO_20250609_205309,777.7,1.05233,63.8483,54.3884,43.6792,15.6238,74.8268,63.8634,0,5,3,0.810017
